pin,TFBGA240_ball,TFBGA240_note,io_structure,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,additional_functions,ds_page
PA0,N5,3,FT_a,,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR,TIM15_BKIN,,,USART2_CTS/USART2_NSS,UART4_TX,SDMMC2_CMD,SAI2_SD_B,ETH_MII_CRS,,,,EVENTOUT,"ADC1_INP16, WKUP1",89
PA1,N4,3,FT_h a,,TIM2_CH2,TIM5_CH2,LPTIM3_OUT,TIM15_CH1N,,,USART2_RTS/USART2_DE,UART4_RX,QUADSPI_BK1_IO3,SAI2_MCLK_B,ETH_MII_RX_CLK/ETH_RMII_REF_CLK,,,LCD_R2,EVENTOUT,"ADC1_INN16, ADC1_INP17",89
PA2,N3,,FT_a,,TIM2_CH3,TIM5_CH3,LPTIM4_OUT,TIM15_CH1,,,USART2_TX,SAI2_SCK_B,,,ETH_MDIO,MDIOS_MDIO,,LCD_R1,EVENTOUT,"ADC12_INP14, WKUP2",89
PA3,U2,,FT_h a,,TIM2_CH4,TIM5_CH4,LPTIM5_OUT,TIM15_CH2,,,USART2_RX,,LCD_B2,OTG_HS_ULPI_D0,ETH_MII_COL,,,LCD_B5,EVENTOUT,ADC12_INP15,89
PA4,U3,,TT_a,D1PWREN,,TIM5_ETR,,,SPI1_NSS/I2S1_WS,SPI3_NSS/I2S3_WS,USART2_CK,SPI6_NSS,,,,OTG_HS_SOF,DCMI_HSYNC,LCD_VSYNC,EVENTOUT,"ADC12_INP18, DAC1_OUT1",89
PA5,T3,,TT_h a,D2PWREN,TIM2_CH1/TIM2_ETR,,TIM8_CH1N,,SPI1_SCK/I2S1_CK,,,SPI6_SCK,,OTG_HS_ULPI_CK,,,,LCD_R4,EVENTOUT,"ADC12_INN18, ADC12_INP19, DAC1_OUT2",89
PA6,R3,,FT_a,,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,,SPI1_MISO/I2S1_SDI,,,SPI6_MISO,TIM13_CH1,TIM8_BKIN_COMP12,MDIOS_MDC,TIM1_BKIN_COMP12,DCMI_PIXCLK,LCD_G2,EVENTOUT,ADC12_INP3,89
PA7,R5,,TT_a,,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,,SPI1_MOSI/I2S1_SDO,,,SPI6_MOSI,TIM14_CH1,,ETH_MII_RX_DV/ETH_RMII_CRS_DV,FMC_SDNWE,,,EVENTOUT,"ADC12_INN3, ADC12_INP7, OPAMP1_VINM",89
PA8,E15,,FT_fh a,MCO1,TIM1_CH1,HRTIM_CHB2,TIM8_BKIN2,I2C3_SCL,,,USART1_CK,,,OTG_FS_SOF,UART7_RX,TIM8_BKIN2_COMP12,LCD_B3,LCD_R6,EVENTOUT,-,89
PA9,D15,,FT_u,,TIM1_CH2,HRTIM_CHC1,LPUART1_TX,I2C3_SMBA,SPI2_SCK/I2S2_CK,,USART1_TX,,,,ETH_TX_ER,,DCMI_D0,LCD_R5,EVENTOUT,OTG_FS_VBUS,89
PA10,D14,,FT_u,,TIM1_CH3,HRTIM_CHC2,LPUART1_RX,,,,USART1_RX,,,OTG_FS_ID,MDIOS_MDIO,LCD_B4,DCMI_D1,LCD_B1,EVENTOUT,-,89
PA11,E17,,FT_u,,TIM1_CH4,HRTIM_CHD1,LPUART1_CTS,,SPI2_NSS/I2S2_WS,UART4_RX,USART1_CTS/USART1_NSS,,FDCAN1_RX,OTG_FS_DM,,,,LCD_R4,EVENTOUT,-,89
PA12,E16,,FT_u,,TIM1_ETR,HRTIM_CHD2,LPUART1_RTS/LPUART1_DE,,SPI2_SCK/I2S2_CK,UART4_TX,USART1_RTS/USART1_DE,SAI2_FS_B,FDCAN1_TX,OTG_FS_DP,,,,LCD_R5,EVENTOUT,-,90
PA13,C15,,FT,JTMS-SWDIO,,,,,,,,,,,,,,,EVENTOUT,-,90
PA14,B14,,FT,JTCK-SWCLK,,,,,,,,,,,,,,,EVENTOUT,-,90
PA15,A14,,FT,JTDI,TIM2_CH1/TIM2_ETR,HRTIM_FLT1,,CEC,SPI1_NSS/I2S1_WS,SPI3_NSS/I2S3_WS,SPI6_NSS,UART4_RTS/UART4_DE,,,UART7_TX,,,,EVENTOUT,-,90
PB0,U5,,FT_a,,TIM1_CH2N,TIM3_CH3,TIM8_CH2N,,,DFSDM1_CKOUT,,UART4_CTS,LCD_R3,OTG_HS_ULPI_D1,ETH_MII_RXD2,,,LCD_G1,EVENTOUT,"ADC12_INN5, ADC12_INP9, OPAMP1_VINP, COMP1_INP",90
PB1,T5,,TT_a,,TIM1_CH3N,TIM3_CH4,TIM8_CH3N,,,DFSDM1_DATIN1,,,LCD_R6,OTG_HS_ULPI_D2,ETH_MII_RXD3,,,LCD_G0,EVENTOUT,"ADC12_INP5, COMP1_INM",90
PB2,R6,,FT_h a,RTC_OUT,,SAI1_D1,,DFSDM1_CKIN1,,SAI1_SD_A,SPI3_MOSI/I2S3_SDO,SAI4_SD_A,QUADSPI_CLK,SAI4_D1,ETH_TX_ER,,,,EVENTOUT,COMP1_INP,90
PB3,C6,,FT,JTDO/TRACESWO,TIM2_CH2,HRTIM_FLT4,,,SPI1_SCK/I2S1_CK,SPI3_SCK/I2S3_CK,,SPI6_SCK,SDMMC2_D2,CRS_SYNC,UART7_RX,,,,EVENTOUT,-,90
