TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
C3,,PE2,I/O,FT_h,-,"TRACECLK, SAI1_CK1, SPI4_SCK, SAI1_MCLK_A, SAI4_MCLK_A, QUADSPI_BK1_IO2, SAI4_CK1, ETH_MII_TXD3, FMC_A23, EVENTOUT",-,1,A3,1,A2,A2,1,1,C3,64
D3,,PE3,I/O,FT_h,-,"TRACED0, TIM15_BKIN, SAI1_SD_B, SAI4_SD_B, FMC_A19, EVENTOUT",-,2,B3,2,B2,A1,2,2,D3,64
D2,,PE4,I/O,FT_h,-,"TRACED1, SAI1_D2, DFSDM1_DATIN3, TIM15_CH1N, SPI4_NSS, SAI1_FS_A, SAI4_FS_A, SAI4_D2, FMC_A20, DCMI_D4, LCD_B0, EVENTOUT",-,3,C3,3,A1,B1,3,3,D2,64
D1,,PE5,I/O,FT_h,-,"TRACED2, SAI1_CK2, DFSDM1_CKIN3, TIM15_CH1, SPI4_MISO, SAI1_SCK_A, SAI4_SCK_A, SAI4_CK2, FMC_A21, DCMI_D6, LCD_G0, EVENTOUT",-,4,D3,4,C3,B2,4,4,D1,64
E5,,PE6,I/O,FT_h,-,"TRACED3, TIM1_BKIN2, SAI1_D1, TIM15_CH2, SPI4_MOSI, SAI1_SD_A, SAI4_SD_A, SAI4_D1, SAI2_MCLK_B, TIM1_BKIN2_COMP12, FMC_A22, DCMI_D7, LCD_G1, EVENTOUT",-,5,E3,5,C2,B3,5,5,E5,64
A1,,VSS,S,-,-,-,-,-,-,-,M4,H10,-,-,A1,64
-,,VDD,S,-,-,-,-,-,-,-,A3,-,-,-,-,64
B1,,VBAT,S,-,-,-,-,6,B2,6,E3,C1,6,6,B1,64
B2,,VSS,S,-,-,-,-,-,-,-,-,J6,-,-,B2,64
E4,,PI8,I/O,FT,-,EVENTOUT,RTC_TAMP2/W KUP3,-,-,-,-,D2,7,7,E4,64
E3,,PC13,I/O,FT,-,EVENTOUT,RTC_OUT/RTC _TAMP1/RTC_T S/WKUP4,7,A2,7,D3,D1,8,8,E3,64
B6,,VSS,S,-,-,-,-,-,-,-,-,J7,-,-,B6,64
C2,,PC14- OSC32_IN (OSC32_I N)(1),I/O,FT,-,EVENTOUT,OSC32_IN,8,A1,8,C1,E1,9,9,C2,65
C1,,PC15- OSC32_O UT(OSC3 2_OUT)(1),I/O,FT,-,EVENTOUT,OSC32_OUT,9,B1,9,B1,F1,10,10,C1,65
E2,,PI9,I/O,FT_h,-,"UART4_RX, FDCAN1_RX, FMC_D30, LCD_VSYNC, EVENTOUT",-,-,-,-,-,D3,11,11,E2,65
F3,,PI10,I/O,FT_h,-,"ETH_MII_RX_ER, FMC_D31, LCD_HSYNC, EVENTOUT",-,-,-,-,-,E3,12,12,F3,65
F4,,PI11,I/O,FT,-,"LCD_G6, OTG_HS_ULPI_DIR, EVENTOUT",WKUP5,-,-,-,E1,E4,13,13,F4,65
A17,,VSS,S,-,-,-,-,-,C2,-,D2,F2,14,14,A17,65
E6,,VDD,S,-,-,-,-,-,D2,-,D1,F3,15,15,E6,65
F2,,VSS,S,-,-,-,-,-,-,-,-,-,-,-,F2,65
E1,2,NC,S,-,-,-,-,-,-,-,-,-,-,-,E1(2),65
F1,,VSS,S,-,-,-,-,-,-,-,-,-,-,-,F1,65
G2,,VSS,S,-,-,-,-,-,-,-,-,-,-,-,G2,65
G4,,PF0,I/O,FT_f,-,"I2C2_SDA, FMC_A0, EVENTOUT",-,-,-,10,F3,E2,16,16,G4,65
G3,,PF1,I/O,FT_f,-,"I2C2_SCL, FMC_A1, EVENTOUT",-,-,-,11,E4,H3,17,17,G3,65
G1,,PF2,I/O,FT,-,"I2C2_SMBA, FMC_A2, EVENTOUT",-,-,-,12,F4,H2,18,18,G1,65
