LQFP100_pin,pad,port,io_structure,header,module_class,onboard_connection,board_loading,alternate_functions,additional_functions,ds12556_af_page
1,PE2,PE2,FT_h,P2-3,OCC-QSPI,U7 IO2/nWP (QUADSPI_BK1_IO2),33R series,AF0:TRACECLK | AF2:SAI1_CK1 | AF5:SPI4_SCK | AF6:SAI1_MCLK_A | AF8:SAI4_MCLK_A | AF9:QUADSPI_BK1_IO2 | AF10:SAI4_CK1 | AF11:ETH_MII_TXD3 | AF12:FMC_A23 | AF15:EVENTOUT,-,84
2,PE3,PE3,FT_h,P2-4,SHR-LED,blue LED E3 via PDTC114ET (high = on),digital transistor base (10k/10k),AF0:TRACED0 | AF4:TIM15_BKIN | AF6:SAI1_SD_B | AF8:SAI4_SD_B | AF12:FMC_A19 | AF15:EVENTOUT,-,84
3,PE4,PE4,FT_h,P2-5,SHR-CAM,camera DVP_D4 (DCMI_D4),direct trace to FPC,AF0:TRACED1 | AF2:SAI1_D2 | AF3:DFSDM1_DATIN3 | AF4:TIM15_CH1N | AF5:SPI4_NSS | AF6:SAI1_FS_A | AF8:SAI4_FS_A | AF10:SAI4_D2 | AF12:FMC_A20 | AF13:DCMI_D4 | AF14:LCD_B0 | AF15:EVENTOUT,-,84
4,PE5,PE5,FT_h,P2-6,SHR-CAM,camera DVP_D6 (DCMI_D6),direct trace to FPC,AF0:TRACED2 | AF2:SAI1_CK2 | AF3:DFSDM1_CKIN3 | AF4:TIM15_CH1 | AF5:SPI4_MISO | AF6:SAI1_SCK_A | AF8:SAI4_SCK_A | AF10:SAI4_CK2 | AF12:FMC_A21 | AF13:DCMI_D6 | AF14:LCD_G0 | AF15:EVENTOUT,-,84
5,PE6,PE6,FT_h,P2-7,SHR-CAM,camera DVP_D7 (DCMI_D7),direct trace to FPC,AF0:TRACED3 | AF1:TIM1_BKIN2 | AF2:SAI1_D1 | AF4:TIM15_CH2 | AF5:SPI4_MOSI | AF6:SAI1_SD_A | AF8:SAI4_SD_A | AF9:SAI4_D1 | AF10:SAI2_MCLK_B | AF11:TIM1_BKIN2_COMP12 | AF12:FMC_A22 | AF13:DCMI_D7 | AF14:LCD_G1 | AF15:EVENTOUT,-,84
7,PC13,PC13,FT,P2-9,SHR-KEY,user key K1 to VDD via 330R (active high),no external pull; needs internal pull-down,AF15:EVENTOUT,RTC_OUT/RTC _TAMP1/RTC_T S/WKUP4,82
8,PC14,PC14,FT,—,XTAL,LSE crystal X2 32.768 kHz (OSC32_IN),C5 12pF; not on headers,AF15:EVENTOUT,OSC32_IN,82
9,PC15,PC15,FT,—,XTAL,LSE crystal X2 (OSC32_OUT),C6 12pF; not on headers,AF15:EVENTOUT,OSC32_OUT,82
12,PH0,PH0,FT,—,XTAL,HSE crystal X1 25 MHz (OSC_IN),C3 10pF; X1 pad 3; not on headers,AF15:EVENTOUT,OSC_IN,87
13,PH1,PH1,FT,—,XTAL,HSE crystal X1 (OSC_OUT),C2 10pF; X1 pad 1; not on headers,AF15:EVENTOUT,OSC_OUT,87
15,PC0,PC0,FT_a,P2-11,FREE,—,header only,AF3:DFSDM1_CKIN0 | AF6:DFSDM1_DATIN4 | AF8:SAI2_FS_B | AF10:OTG_HS_ULPI_STP | AF12:FMC_SDNWE | AF14:LCD_R5 | AF15:EVENTOUT,ADC123_INP10,81
16,PC1,PC1,FT_ha,P2-12,FREE,—,header only,AF0:TRACED0 | AF2:SAI1_D1 | AF3:DFSDM1_DATIN0 | AF4:DFSDM1_CKIN4 | AF5:SPI2_MOSI/I2S2_SDO | AF6:SAI1_SD_A | AF8:SAI4_SD_A | AF9:SDMMC2_CK | AF10:SAI4_D1 | AF11:ETH_MDC | AF12:MDIOS_MDC | AF15:EVENTOUT,"ADC123_INN10 , ADC123_INP11, RTC_TAMP3/W KUP6",81
17,PC2_C,PC2,TT_a,P2-13,FREE,—,header only,AF0:C1DSLEEP | AF3:DFSDM1_CKIN1 | AF5:SPI2_MISO/I2S2_SDI | AF6:DFSDM1_CKOUT | AF10:OTG_HS_ULPI_DIR | AF11:ETH_MII_TXD2 | AF12:FMC_SDNE0 | AF15:EVENTOUT,"ADC3_INN1, ADC3_INP0",81
18,PC3_C,PC3,TT_a,P2-14,FREE,—,header only,AF0:C1SLEEP | AF3:DFSDM1_DATIN1 | AF5:SPI2_MOSI/I2S2_SDO | AF10:OTG_HS_ULPI_NXT | AF11:ETH_MII_TX_CLK | AF12:FMC_SDCKE0 | AF15:EVENTOUT,ADC3_INP1,81
22,PA0,PA0,FT_a,P2-17,FREE,—,header only,AF1:TIM2_CH1/TIM2_ETR | AF2:TIM5_CH1 | AF3:TIM8_ETR | AF4:TIM15_BKIN | AF7:USART2_CTS/USART2_NSS | AF8:UART4_TX | AF9:SDMMC2_CMD | AF10:SAI2_SD_B | AF11:ETH_MII_CRS | AF15:EVENTOUT,"ADC1_INP16, WKUP1",79
23,PA1,PA1,FT_ha,P2-18,FREE,—,header only,AF1:TIM2_CH2 | AF2:TIM5_CH2 | AF3:LPTIM3_OUT | AF4:TIM15_CH1N | AF7:USART2_RTS/USART2_DE | AF8:UART4_RX | AF9:QUADSPI_BK1_IO3 | AF10:SAI2_MCLK_B | AF11:ETH_MII_RX_CLK/ETH_RMII_REF_CLK | AF14:LCD_R2 | AF15:EVENTOUT,"ADC1_INN16, ADC1_INP17",79
24,PA2,PA2,FT_a,P2-19,FREE,—,header only,AF1:TIM2_CH3 | AF2:TIM5_CH3 | AF3:LPTIM4_OUT | AF4:TIM15_CH1 | AF7:USART2_TX | AF8:SAI2_SCK_B | AF11:ETH_MDIO | AF12:MDIOS_MDIO | AF14:LCD_R1 | AF15:EVENTOUT,"ADC12_INP14, WKUP2",79
25,PA3,PA3,FT_ha,P2-20,FREE,—,header only,AF1:TIM2_CH4 | AF2:TIM5_CH4 | AF3:LPTIM5_OUT | AF4:TIM15_CH2 | AF7:USART2_RX | AF9:LCD_B2 | AF10:OTG_HS_ULPI_D0 | AF11:ETH_MII_COL | AF14:LCD_B5 | AF15:EVENTOUT,ADC12_INP15,79
28,PA4,PA4,TT_a,P2-21,SHR-CAM,camera DVP_HSYNC (DCMI_HSYNC),direct trace to FPC,AF0:D1PWREN | AF2:TIM5_ETR | AF5:SPI1_NSS/I2S1_WS | AF6:SPI3_NSS/I2S3_WS | AF7:USART2_CK | AF8:SPI6_NSS | AF12:OTG_HS_SOF | AF13:DCMI_HSYNC | AF14:LCD_VSYNC | AF15:EVENTOUT,"ADC12_INP18, DAC1_OUT1",79
29,PA5,PA5,TT_ha,P2-22,FREE,—,header only,AF0:D2PWREN | AF1:TIM2_CH1/TIM2_ETR | AF3:TIM8_CH1N | AF5:SPI1_SCK/I2S1_CK | AF8:SPI6_SCK | AF10:OTG_HS_ULPI_CK | AF14:LCD_R4 | AF15:EVENTOUT,"ADC12_INN18, ADC12_INP19, DAC1_OUT2",79
